Artist,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock and the Egyptians,Robyn Hitchcock and the Egyptians,Robyn Hitchcock,Robyn Hitchcock and the Egyptians,Robyn Hitchcock and the Egyptians,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock and Venus 3,Robyn Hitchcock and Venus 3,Robyn Hitchcock and Venus 3,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,The Soft Boys,The Soft Boys,Pavement,Pavement,Pavement,Pavement,Pavement,Pixies,Pixies,Pixies,Pixies,Pixies,The Breeders,The Breeders,Kim Deal,Beach House,Beach House,Beach House,Beach House,Beach House,Beach House,Beach House,Beach House,Vampire Weekend,Vampire Weekend,Vampire Weekend,Vampire Weekend,Vampire Weekend,Luna,Luna,Luna,Luna,Luna,Luna,Luna,Dean and Britta,Dean and Britta,Dean Wareham,Dean Wareham,Dean Wareham,Dean Wareham,blur,blur,blur,blur,blur,blur,blur,blur,blur,Gorillaz,Gorillaz,Gorillaz,Gorillaz,Gorillaz,Gorillaz,Gorillaz,The Clientele,The Clientele,The Clientele,The Clientele,The Clientele,The Clientele,The Clientele,The Clientele,Kendrick Lamar,Kendrick Lamar,Kendrick Lamar,Jeff Buckley,The B-52's,The B-52's,The B-52's,The B-52's,The B-52's,The B-52's,The B-52's,Matthew Sweet,Matthew Sweet,Matthew Sweet,Matthew Sweet,Matthew Sweet,Cigarettes After Sex,Cigarettes After Sex,Cigarettes After Sex,The Zombies,Elastica,Radiohead,Radiohead,Radiohead,Radiohead,Radiohead,Radiohead,The Magnetic Fields,The Magnetic Fields,The Magnetic Fields,The Magnetic Fields,Prince and the Revolution,David Bowie,ACDC,ACDC,Neutral Milk Hotel,Prom Queen,Prom Queen,Prom Queen,Leeni,Beck ,Beck ,Beck ,The Smiths,The Smiths,The Smiths,The Smiths,The Smiths,The Smiths
Album,Chronic Town,Murmur,Reckoning,Fables of the Reconstruction,Life's Rich Pagent,Document,Green,Out of Time,Automatic for the People,Monster,New Adventures,Up,Reveal,Around the Sun,Accelerate,Collapse Into Now,Black Snake Diamond Role,Groovy Decoy,I Often Dream of Trains B5,Fegmania!,Element of Light B5,Globe of Frogs,Queen Elvis,Eye,Perspex Island,Respect,Moss Elixir,Mossy Liquor,Jewels for Sophia,A Star For Bram,Luxor,Spooked,Ole Tarantula,Goodnight Oslo,Propellor Time,Tromso Kaptein,Love From London,The Man Upstairs,The Man Downstairs,Robyn Hitchcock,Shufflemania,1967_Vacations in the Past,Underwater Moonlight,Nextdoorland,Slanted and Enchanted,"Crooked Rain, Crooked Rain",Wowee Zowee,Brighten the Corners,Terror Twilight,Come on Pilgram,Sufer Rosa,Doolittle,Bossanova,Trompe le Monde,Pod,Last Splash,Nobody Loves You More,Beach House,Devotion,Teen Dream,Bloom,Depression Cherry,Thank Your Lucky Stars,7,Once Twice Melody,Vampire Weekend,Contra,Modern Vampires of the City,Father of the Bride,Only God Was Above Us,Lunapark,Bewitched,Penthouse,Pup Tent,The Days of Our Nights,Romantica,Rendezvous,L' Avventura,Back Numbers,Emancipated Hearts,Dean Wareham,I Have Nothing To Say To the Mayor of LA,That's The Price of Loving Me,Leisure,Modern Life Is Rubbish,Parklife,The Great Escape,Blur,13,Think Tank,The Magic Whip,The Ballard Of Darren,Gorillaz,Demon Days,Plastic Beach,Humanz,The Now Now,Song Machine,Cracker Island,Suburban Light (org),Suburban Light (CD),The Violet Hour,Strange Geometry,God Save the Clientele,Bonfires of the Heath,Music for the Age of Miracles,I Am Not Hear Anymore,GKMC,To Pimp A Butterfly,DAMN,Grace,The B-52's,Wild Planet,Whammy,Bouncing Off Satelites,Cosmic Thing,Good Stuff,Funplex,Girlfriend,Altered Beast,100 Fun,Blue Skies on Mars,In Reverse,Cigarettes After Sex,Cry,Xs,Odessey and Oracle,Elastica,The Bends,OK Computer,Kid A,Amnesiac,Hail To The Thief,In Rainbows,69 Love Songs 1,69 Love Songs 2,69 Love Songs 3,i,Purple Rain,Ziggy Stardust,Highway to Hell,Back In Black,In An Aeroplane Over the Sea,Night Sounds,Midnight Veil,Doom Wop,Violet,Mellow Gold,Odelay,Midnite Vultures,The Smiths,Hatful of Hollow,Meat Is Murder,The Queen Is Dead,Strangeways Here We Come,Louder Than Bombs
Track,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,10,10,10,10,10,8,9,9.5,10,6,8,8,9,9,8,7,8,9,9,10,10,9,9,10,9,8,9,9,9,10,9,8,9,8,8.5,9,8.5,9,9,8,10,9.5,10,10,10,10,10,10,10,10,9,10,9,10,9.5,9,10,9,10,10,10,9,9,10,9,9,9,9,10,10,10,9,8,8.5,8,10,10,10,9.5,9,9,10,9,10,10,10,10,8,9,9,8,7,8,7,8.5,10,8,10,10,9,10,10,9,9,10,10,9,9,10,10,10,10,7.5,9,7,9,10,8,10,7,9,10,9,10,10,9,9,10,10,10,10,10,10,7,9,10,10,9,10,10,10,8.5,8,9,9,10,10,10,10,10,9,8,9,9
2,10,10,10,10,10,9,10,10,10,9,9,9,8,7.5,10,10,10,6,9,9,8,9,10,9,10,10,8,9,8,8,8.5,8.5,10,8.5,9,8,10,9,8,9,8.5,8,10,8.5,10,10,9,10,9,9,8,10,10,9,8.5,10,10,8.5,9,10,9,9,8,9,10,10,9,9,10,9,10,10,10,10,8,9,8.5,9,10,9,8.5,9,8,10,9,10,9,10,9,8,7,8.5,8.5,9,8,7.5,8.5,8,9.5,9,9,8.5,9,9,10,9,7,9,8,10,10,10,9,8.5,8,10,8,9,10,9,9,8,10,8,9.5,9,9,10,10,10,8.5,10,8,10,10,6,8,9,10,9,9,10,10,9,8,10,9.5,10,10,10,7.5,9,7.5,8,9,9
3,10,10,10,10,10,9,10,8,10,7.5,8,10,10,7,9,8,9,7.5,8,10,8,10,10,10,10,8,10,9,10,8,9,9,8.5,7.5,8,8,8.5,8.5,8.5,7,10,8,8,8,10,10,10,9,9,10,8,10,10,10,8.5,9.5,9,9,9,10,10,10,8.5,8,10,10,9,10,9,10,10,10,8,8.5,8,8,8,8.5,9,8,8,8.5,9,8,9,9,8,9,10,9,7,8,9,10,8,7.5,8,8.5,10,9,9,10,9.5,10,9,10,8,9,10,9,10,10,8,10,7.5,10,8.5,9,10,10,10,8,10,10,10,9,10,10,10,10,10,8,8.5,9,10,9,9,8,10,10,8,8,10,10,9,9,9,8.5,9.5,10,7.5,8.5,7.5,8.5,10,9
4,10,10,10,10,9,10,9,9,9,8,8,7,8,6.5,9,8,8,6.5,9,9,8,8,10,9,9,8,9,7.5,9,9,8,8,8,10,8.5,7.5,9,10,8,10,8,8,10,8,9,10,9,8,8,10,9,9,10,10,9,8.5,9,8.5,8.5,9,10,9,9,8,8.5,10,8,10,9,8,10,9,8.5,8,9,8.5,9,8.5,9,8,9,9,8.5,8,9,10,8,8,8,9,7,8,7.5,8,8.5,8,8.5,8,8.5,10,10,9,9,8,10,9,7,10,8.5,10,9,10,10,8.5,7.5,10,8.5,8.5,10,10,9,7,9,10,8.5,8.5,9,9,10,9,9,8.5,7.5,8,9,10,7.5,8,9,10,10,8,9,10,10,9,9,8,10,10,7.5,10,10,7.5,10,8.5
5,10,10,7,9,9,8,10,9,9,8,9,10,9,6.5,7,9,8,6.5,10,8,8.5,8,8,10,8,9,8,9,8.5,7.5,8.5,8,8.5,7.5,8,7.5,8,7,8,8,8.5,7.5,8,8,9,7,10,9,9,9,9,10,9,9,10,9,8,8,8.5,8.5,10,9,8,8,9,9,9,9,9,10,8,8,10,8.5,8,9,9,8,8.5,8.5,8,8.5,8.5,8,9,8,8,8,8,10,7,8,10,10,10,7,9,8.5,8,9,9,8.5,9,9,9,8,10,10,10,9,10,8.5,10,8.5,10,9,7.5,8,10,10,9,7.5,8.5,7.5,9,9,9.5,9,9,10,8,9,9,10,9,7,10,9,9,9,8,9,8,8.5,8,10,8,8,8,10,8,10,7,9,10,10
6,,9,9,9,8,10,9.5,8,10,8,7,7,7,9,7,9,9,7,9,10,9,9,9,8,10,8,10,10,8,10,8,8.5,8,8,8,9,10,8,7.5,8,8,8,8.5,8.5,10,9,8,8,8.5,8,8,10,9,10,9,9,8.5,8,10,8.5,9,10,8,10,8.5,10,9,10,9,8.5,10,10,9,10,8.5,8.5,10,9,8.5,8,10,8.5,9,8,10,9,8,7,8,8,7.5,9,7,7.5,9,7,8.5,9,10,8.5,8.5,9,8.5,8.5,8,8,7.5,8.5,8,9,10,8,9,7.5,7.5,10,8,7.5,10,8.5,9,10,8.5,10,8.5,10,9,8.5,10,10,10,9,7.5,10,10,10,9,9,10,9.5,10,10,10,9,10,8.5,8.5,9,8.5,9.5,10,7.5,8,10,9.5,9
7,,10,9,10,9,10,10,9,9,9,7.5,8,10,7,8,9,8,7.5,8,9,8,10,8,10,10,8,10,8,8.5,10,8.5,10,10,9,8.5,8,9,8.5,7.5,8.5,9,8,8,9,9,10,8,8.5,9,8,10,9,8,9,10,8.5,8.5,9,8.5,8.5,8,8.5,8.5,8,10,9,10,9,9,9,10,10,8,7.5,9,8.5,8.5,8,8,8,9,10,8,9,8,8,9,8,9,8,7.5,8,7.5,7.5,9,7,8.5,9,8,9,8.5,9,9,8,8.5,9,8.5,9,10,10,10,7.5,10,8,6,9,8,8,8,9,10,7,8,9,9,8.5,10,8.5,9,9,9,10,7.5,9,10,7,7,10,10,9,10,10,8,8.5,7.5,9,8,8,10,8.5,8,8.5,7.5,10,8,10
8,,10,8,10,10,8,10,9,8.5,9,10,6.5,8,6.5,8,10,10,6.5,9,8,10,9,8,9,8,8.5,8,8,9,10,7.5,8,9,10,9,7.5,9,8,9,8,8,8,9,9,10,8,10,9,9,9,9,8,10,9,10,8.5,8,8,8.5,8,10,9,8,9,8,9,8,10,10,8.5,10,9,8,7.5,8,8,8,8.5,8,10,9,10,9,9,8,8,9,9,8,8,7,7.5,7,7,7.5,7,8,8,7.5,9,9.5,8.5,9.5,10,8.5,8.5,7,10,9.5,10,9,7.5,10,7,6,9,7,10,9,9,10,7,10,10,10,9,10,8,10,9,8.5,9,7,10,9,7,9,9,8,10,10,7.5,9,9,9,7.5,7.5,8,10,8.5,8.5,8,10,8,9,8
