,,,Track,,,,,,,,,,,,,,,,,,,,,,,
Artist,Album,Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Example,Album_1,1980,10,10,10,9,9,,,,,,,,,,,,,,,,,,,
Example,Album_2,1982,10,10,10,10,10,9,10,10,10,10,8,7,,,,,,,,,,,,
Example,Album_3,1984,10,10,10,10,7,9,9,8,10,9,,,,,,,,,,,,,,
Example,Album_4,1986,10,10,10,10,9,9,10,10,10,10,10,,,,,,,,,,,,,
Example,Album_5,1988,10,10,10,9,9,8,9,10,9,9,9,10,,,,,,,,,,,,
Example,Album_6,1990,10,9,9,10,8,10,10,8,7,8,7,,,,,,,,,,,,,
Example,Album_7,1992,10,10,10,9,10,9.5,10,10,10,7,10,,,,,,,,,,,,,
Example,Album_8,1994,8,10,8,9,9,8,9,9,9,10,10,,,,,,,,,,,,,
Example,Album_9,1996,9,10,10,9,9,10,9,8.5,9,9,10,10,,,,,,,,,,,,
Example,Album_10,1998,9.5,9,7.5,8,8,8,9,9,8,8.5,10,9,,,,,,,,,,,,
Example,Album_11,2000,10,9,8,8,9,7,7.5,10,8,7.5,8,8,6.5,10,,,,,,,,,,
Example,Album_12,2002,6,9,10,7,10,7,8,6.5,7,7,8,6.5,8,8,,,,,,,,,,
Example,Album_13,2004,8,8,10,8,9,7,10,8,9,8,9,9,,,,,,,,,,,,
Example,Album_14,2006,8,7.5,7,6.5,6.5,9,7,6.5,10,9,8,8,8,,,,,,,,,,,
Example,Album_15,2008,9,10,9,9,7,7,8,8,6.5,8,8,,,,,,,,,,,,,
Example,Album_16,2010,9,10,8,8,9,9,9,10,9,9,8,8,,,,,,,,,,,,
